,xxx,HOMO-3/LUMO,HOMO-3/LUMO+1,HOMO-3/LUMO+2,HOMO-3/LUMO+3,HOMO-2/LUMO,HOMO-2/LUMO+1,HOMO-2/LUMO+2,HOMO-2/LUMO+3,HOMO-1/LUMO,HOMO-1/LUMO+1,HOMO-1/LUMO+2,HOMO-1/LUMO+3,HOMO/LUMO,HOMO/LUMO+1,HOMO/LUMO+2,HOMO/LUMO+3,IP,EA
42,[C:1]([H:2])([H:3])=[N+:4]([O-:5])[O-:6].[C:7](=[C:8](/[C:9](=[O:10])[N:11]([C:12]([H:13])([H:14])[H:15])[H:16])[H:17])(\[C:18]([H:19])([H:20])[H:21])[Br:22],0.38102278320957217,0.41461255097863636,0.46133518733091156,0.4899513293727158,0.36746573266108734,0.40101129577708977,0.4478416941556068,0.47654332827281787,0.3553669294363425,0.388974413262468,0.43554888503390765,0.4643138127321942,0.2067987519786169,0.24067995025896893,0.28697216824894706,0.3159966184603065,0.334005242116746,-0.0007600406407455601
43,[C:1]([H:2])([H:3])=[N+:4]([O-:5])[O-:6].[C:7](=[C:8]([C:9](=[O:10])[C:11]([H:12])([H:13])[H:14])[Cl:15])([Cl:16])[Cl:17],0.4040946095629292,0.4336401686703556,0.47327141535722933,0.5115808097346944,0.3866299279602945,0.41626637779115355,0.4561456694066514,0.4942610844394285,0.35823050385413635,0.38817259976110424,0.4278658275901157,0.46606410701250295,0.05259141112367631,0.08221520854038267,0.12219635882608473,0.1603965810061749,0.3620834620676253,0.025480610741416193
44,[C:1]([H:2])([H:3])=[N+:4]([O-:5])[O-:6].[C:7](=[C:8](/[C:9](=[O:10])[O:11][C:12]([H:13])([H:14])[H:15])[c:16]1[c:17]([H:18])[c:19]([H:20])[c:21]([H:22])[c:23]([H:24])[c:25]1[H:26])(\[c:27]1[c:28]([H:29])[c:30]([H:31])[c:32]([H:33])[c:34]([H:35])[c:36]1[H:37])[Cl:38],0.34378011046727713,0.35635368698783776,0.3645015402326505,0.4054723702616078,0.33534025710034693,0.3477230243261401,0.35581405856761095,0.3969786878946526,0.307787012492047,0.32021259555389625,0.328000020977422,0.3692661048723398,0.012222512462149471,0.024236270731506936,0.03257430739190635,0.07370102088469616,0.3084650017348956,0.046196993493768025
45,[C:1]([H:2])([H:3])=[N+:4]([O-:5])[O-:6].[C:7](=[C:8](/[C:9](=[O:10])[O:11][C:12]([H:13])([H:14])[H:15])[Cl:16])(\[H:17])[Br:18],0.40748745836070127,0.44552068855639976,0.48285592418921885,0.5184807345444664,0.3892922830630683,0.4269938716617977,0.46466197221036704,0.5002562969498513,0.36815131306954185,0.40572747945446785,0.443306930748727,0.4789720160989425,0.04979659846203018,0.08773991114510091,0.1248562665484489,0.16060378760759741,0.3519690687105793,0.014540492601235092
46,[C:1]([H:2])([H:3])=[N+:4]([O-:5])[O-:6].[C:7](=[C:8](/[C:9](=[O:10])[N:11]([c:12]1[c:13]([H:14])[c:15]([H:16])[c:17]([H:18])[c:19]([H:20])[c:21]1[H:22])[H:23])[Cl:24])(\[Cl:25])[H:26],0.3771877674110685,0.39574877974098355,0.4181817266438334,0.4442042089688262,0.3605705763684351,0.3793573823666262,0.40190048069119355,0.42810399482888223,0.33269076982803125,0.35163534692725484,0.3738689126733165,0.4001450470937707,0.06196321592708633,0.08028385965924408,0.10243258990177755,0.12878457780192,0.3188923855458368,0.014774182450754347
47,[C:1]([H:2])([H:3])([N+:4](=[O:5])[O-:6])[C:7]([C:8](=[C:9]([O-:10])[N:11]([C:12]([H:13])([H:14])[H:15])[H:16])[C:17]([H:18])([H:19])[H:20])([c:21]1[c:22]([H:23])[c:24]([H:25])[c:26]([H:27])[c:28]([H:29])[c:30]1[H:31])[H:32],0.3714434429881453,0.4069464546101912,0.41383487767301863,0.46577812587481315,0.35250320418306436,0.3880511847614794,0.3948883642896955,0.4468437215043893,0.3426902406049015,0.37829153195994014,0.38511731369281815,0.43711552022006944,0.3158380359817491,0.35143755847475056,0.3580039866416055,0.41018000082751405,0.3079841852218646,-0.015496060258069471
48,[C:1]([H:2])([H:3])=[N+:4]([O-:5])[O-:6].[C:7](=[C:8]([C:9](=[O:10])[N:11]([c:12]1[c:13]([H:14])[c:15]([H:16])[c:17]([H:18])[c:19]([H:20])[c:21]1[H:22])[H:23])[Cl:24])([c:25]1[c:26]([H:27])[c:28]([H:29])[c:30]([H:31])[c:32]([H:33])[c:34]1[H:35])[c:36]1[c:37]([H:38])[c:39]([H:40])[c:41]([H:42])[c:43]([H:44])[c:45]1[H:46],0.308024064797446,0.3125078469434134,0.3012000932270563,0.3117762700353982,0.31076553883959673,0.3151791901972433,0.30412932690425054,0.31433718683890727,0.28718873824328534,0.2914333256061224,0.27994858617468366,0.2905188195028595,0.04126193573190664,0.04468419503120733,0.03421973702075008,0.04488756958859188,0.287588384687986,0.056371121317679615
49,[C:1]([H:2])([H:3])=[N+:4]([O-:5])[O-:6].[C:7](=[C:8]([C:9](=[O:10])[N:11]([C:12]([H:13])([H:14])[H:15])[C:16]([H:17])([H:18])[H:19])[H:20])([C:21]([H:22])([H:23])[H:24])[C:25]([H:26])([H:27])[H:28],0.36394217756897207,0.40931391654411853,0.46615606242240376,0.4848886206215153,0.3459775599333157,0.39141055703505767,0.44822557765686327,0.4669641113720118,0.3342534374025938,0.37960532667740887,0.4365075576714988,0.4552387529961619,0.309971583906158,0.3553282825261719,0.4121997420615441,0.4309390275696126,0.30937721711582344,-0.007895024660287136
50,[C:1]([H:2])([H:3])=[N+:4]([O-:5])[O-:6].[C:7](=[C:8]([C:9](=[O:10])[N:11]([c:12]1[c:13]([H:14])[c:15]([H:16])[c:17]([H:18])[c:19]([H:20])[c:21]1[H:22])[H:23])[Br:24])([C:25]([H:26])([H:27])[H:28])[C:29]([H:30])([H:31])[H:32],0.35587252681981785,0.38566862284417713,0.39534927049997776,0.4199658754461927,0.3380610304744539,0.3681509403247657,0.37807354327359227,0.4025151953088978,0.3268391193920742,0.35680565486575555,0.3663779010985626,0.3909132666791416,0.22124445303305937,0.25106391431588027,0.2605300565589038,0.2853482691256294,0.2958993795361428,0.009025882073532415
51,[C:1]([H:2])([H:3])=[N+:4]([O-:5])[O-:6].[C:7](=[C:8]([C:9](=[O:10])[C:11]([H:12])([H:13])[H:14])[Br:15])([c:16]1[c:17]([H:18])[c:19]([H:20])[c:21]([H:22])[c:23]([H:24])[c:25]1[H:26])[c:27]1[c:28]([H:29])[c:30]([H:31])[c:32]([H:33])[c:34]([H:35])[c:36]1[H:37],0.3316949678548265,0.3403012369729659,0.3366006126301479,0.3649100544649733,0.33159571093012213,0.33993341255975124,0.33634778725898834,0.3646079051307788,0.30584945882934084,0.31435884978994855,0.310026540096525,0.33878108189184786,0.012910227165679567,0.020362543077305638,0.01724608549595753,0.04567008918231561,0.3041722986595917,0.05392280057853155
52,[C:1]([H:2])([H:3])=[N+:4]([O-:5])[O-:6].[C:7](=[C:8](/[C:9](=[O:10])[N:11]([c:12]1[c:13]([H:14])[c:15]([H:16])[c:17]([H:18])[c:19]([H:20])[c:21]1[H:22])[H:23])[H:24])(\[c:25]1[c:26]([H:27])[c:28]([H:29])[c:30]([H:31])[c:32]([H:33])[c:34]1[H:35])[Cl:36],0.33988334384675606,0.3487812407435279,0.3573244454866219,0.3883499231456475,0.33472883361136585,0.343512393750912,0.35201159592458514,0.3830983246236038,0.3066914330549408,0.31565607263478757,0.32369514241392955,0.35492968623110344,0.025070367428361294,0.033401444685373316,0.042179433312520054,0.0731226703730369,0.30674474652459227,0.03797312961096194
53,[C:1]([H:2])([H:3])=[N+:4]([O-:5])[O-:6].[C:7](=[C:8](/[C:9](=[O:10])[C:11]([H:12])([H:13])[H:14])[C:15]([H:16])([H:17])[H:18])(\[Cl:19])[c:20]1[c:21]([H:22])[c:23]([H:24])[c:25]([H:26])[c:27]([H:28])[c:29]1[H:30],0.36065436358966646,0.37608795758617736,0.4197367478180089,0.44695631572014316,0.3506143659108434,0.36600826344215664,0.40961613858386425,0.4369612168017337,0.3296347212674697,0.34516178344479015,0.3887015450714593,0.4161859641357516,0.029686534831670587,0.04496742637007243,0.0883424935354736,0.1155781535252753,0.3227115024269389,0.033682766652683646
54,[C:1]([H:2])([H:3])([N+:4](=[O:5])[O-:6])[C:7]([C:8](=[C:9]([O-:10])[C:11]([H:12])([H:13])[H:14])[C:15]([H:16])([H:17])[H:18])([Cl:19])[Br:20],0.4003370487175551,0.4273732248476615,0.45847104559355367,0.5028626861141057,0.39466829669256215,0.4214513032369343,0.4526301666953733,0.4970579578842084,0.37978388965190596,0.4067205253064377,0.43790538637201315,0.4820818193689619,0.17531587776231178,0.2021253183635625,0.23341040915612926,0.27719053905019775,0.36379401964994973,-0.0038971558725932887
55,[C:1]([H:2])([H:3])=[N+:4]([O-:5])[O-:6].[C:7](=[C:8](/[C:9](=[O:10])[c:11]1[c:12]([H:13])[c:14]([H:15])[c:16]([H:17])[c:18]([H:19])[c:20]1[H:21])[Br:22])(\[Br:23])[C:24]([H:25])([H:26])[H:27],0.35024137871114575,0.36340612516111254,0.37205327573682767,0.41798056091190067,0.3455583899269744,0.35872823413965055,0.36749890196778623,0.41337290640348634,0.32770334578712407,0.34103854790925014,0.3494622152872521,0.3958360744078716,0.02015709715470778,0.032794297251928374,0.04151119904074705,0.0873286023397494,0.3398963316704829,0.04177200929837851
56,[C:1]([H:2])([H:3])([N+:4](=[O:5])[O-:6])[C:7]([C:8](=[C:9]([O-:10])[C:11]([H:12])([H:13])[H:14])[H:15])([C:16]([H:17])([H:18])[H:19])[H:20],0.39829445560037424,0.45610491730394137,0.5276888056127356,0.5355913152107667,0.38852174199476563,0.4462789590011824,0.517898735353409,0.5258138775776069,0.3714198074511009,0.4292533629940829,0.5008102684610136,0.5086696069379492,0.31416046953545856,0.37234683483864617,0.4439026693577263,0.45157435826839515,0.35639705177284686,-0.015292693916952246
57,[C:1]([H:2])([H:3])([N+:4](=[O:5])[O-:6])[C:7]([C:8](=[C:9]([O-:10])[H:11])[C:12]([H:13])([H:14])[C:15]([H:16])([H:17])[H:18])([H:19])[H:20],0.3926281821107557,0.4613645234964035,0.5296381898793168,0.5344783046376234,0.38367918599863954,0.4524330269656602,0.5207232163379129,0.5255237080081211,0.36495860940617764,0.43381281251432136,0.5020721359733191,0.5068343664289192,0.34121125272475733,0.41000294578250485,0.47845531338186553,0.48300070408729967,0.35350515272102434,-0.013842541240693318
58,[C:1]([H:2])([H:3])=[N+:4]([O-:5])[O-:6].[C:7](=[C:8](/[C:9](=[O:10])[N:11]([C:12]([H:13])([H:14])[H:15])[C:16]([H:17])([H:18])[H:19])[H:20])(\[H:21])[Cl:22],0.3806402944750248,0.42346271417706116,0.4740540635106538,0.4947540956456978,0.35937411757872195,0.40211586071825484,0.4526989744468926,0.47351533168766,0.3465498597365712,0.3895417316575155,0.43997138704428995,0.46081917070579237,0.21892586597230873,0.2620364563539602,0.3126290595357136,0.33329714613898587,0.3227291787365546,0.0014361201706892506
59,[C:1]([H:2])([H:3])=[N+:4]([O-:5])[O-:6].[C:7](=[C:8]([C:9](=[O:10])[O:11][C:12]([H:13])([H:14])[H:15])[Cl:16])([c:17]1[c:18]([H:19])[c:20]([H:21])[c:22]([H:23])[c:24]([H:25])[c:26]1[H:27])[c:28]1[c:29]([H:30])[c:31]([H:32])[c:33]([H:34])[c:35]([H:36])[c:37]1[H:38],0.3447476505770603,0.3550899361775325,0.3625531930474054,0.39923875195603564,0.3375285758200386,0.3477171461951337,0.35520677961697966,0.39198354723077067,0.30941778823042476,0.3196492782342326,0.3267994408812712,0.3637357033656817,0.021835953444133326,0.031619473112380336,0.03931139863253098,0.0758286564384582,0.3121369035811339,0.050422414603052065
60,[C:1]([H:2])([H:3])=[N+:4]([O-:5])[O-:6].[C:7](=[C:8](/[C:9](=[O:10])[H:11])[Br:12])(\[C:13]([H:14])([H:15])[H:16])[c:17]1[c:18]([H:19])[c:20]([H:21])[c:22]([H:23])[c:24]([H:25])[c:26]1[H:27],0.3632099950592414,0.37805402291254636,0.40068258011017865,0.43989930714244363,0.3529773400899676,0.3677929650612526,0.3904403508542402,0.4296915142574654,0.3288489000068359,0.3438371106156011,0.36629545168214567,0.40579644143448396,0.03970614235963761,0.0542179080249681,0.07685194436514203,0.11586065647734652,0.33010215028811074,0.03433408245805135
61,[C:1]([H:2])([H:3])=[N+:4]([O-:5])[O-:6].[C:7](=[C:8]([C:9](=[O:10])[N:11]([C:12]([H:13])([H:14])[H:15])[C:16]([H:17])([H:18])[H:19])[c:20]1[c:21]([H:22])[c:23]([H:24])[c:25]([H:26])[c:27]([H:28])[c:29]1[H:30])([c:31]1[c:32]([H:33])[c:34]([H:35])[c:36]([H:37])[c:38]([H:39])[c:40]1[H:41])[c:42]1[c:43]([H:44])[c:45]([H:46])[c:47]([H:48])[c:49]([H:50])[c:51]1[H:52],0.2951196687906569,0.3197430809621114,0.3127380149565532,0.30700464044307635,0.2947486107682492,0.3192480577412517,0.3126385051093611,0.30654981149815097,0.28035629993301325,0.30480894066971165,0.2978080431055256,0.2921724211758146,0.09137040209964,0.1153056874961671,0.10877552886436648,0.10391466621656935,0.2589850253652858,0.052758937468120035
62,[C:1]([H:2])([H:3])([N+:4](=[O:5])[O-:6])[C:7]([C:8](=[C:9]([O-:10])[N:11]([C:12]([H:13])([H:14])[H:15])[C:16]([H:17])([H:18])[H:19])[Br:20])([Br:21])[Cl:22],0.39733327118581535,0.4154010345100585,0.43230409093974115,0.4707665328618863,0.390493871752848,0.40817568621143396,0.425336677418026,0.46383781473369223,0.36945497336943856,0.387446993208329,0.4043625968468481,0.44284634554259766,0.09443933907863433,0.11220348597683438,0.12912504190679835,0.1678787079031073,0.336262490108322,0.0022430206321383374
